Gene_ID	Two	Three	Four	Five	Six
Ceric.09G084000	5.28062498045381	5.51052096823499	5.59725026532836	6.43700144504281	5.77565150788188
Ceric.09G086200	-2.53027374585647	-1.84051608276421	-0.851379065751311	1.30193267368384	2.25696357129486
Ceric.09G086900	3.67531836643778	1.87539763358137	0.974899276792244	-0.635594253088009	0.675925646178125
Ceric.09G087100	6.21529795764811	7.21994231019111	7.8527797494544	7.05386238684208	7.17478173229854
Ceric.09G087500	0.895598549824706	-2.23792958417796	-1.20892755390098	-2.53027374585647	-1.11482077069021
Ceric.09G087600	2.88561204626985	3.05146191814666	2.91759712167196	1.01608966317441	-0.246496599249304
Ceric.09G088900	4.34185426984773	4.30878604389839	5.77124008329138	6.01867390448258	5.47872805359642
Ceric.09G089000	4.64474488649169	5.77899472475528	6.63383092006708	6.59840726615068	6.05612040556021
Ceric.09G092400	-2.53027374585647	-1.30069186555513	1.18096545792681	-2.53027374585647	-0.473340351299332
Ceric.09G092500	-2.53027374585647	0.0010361411241497	-2.27050809316238	1.21236316371637	4.49502548734668
Ceric.09G092900	-2.53027374585647	-2.31753697110614	-1.6293053273868	2.07449140422034	5.07694452635876
Ceric.09G094000	6.1463051280213	6.45008085552785	7.22602749511083	6.97337710000096	7.66489968138196
Ceric.09G094600	7.76427760864261	7.67912250416763	7.71826282815238	6.95521463945128	6.70131947433048
Ceric.09G095600	-1.98340995190459	-1.06189078056058	-0.793559630179123	0.580543716903487	3.03799871021915
Ceric.09G096400	3.18401036856012	1.04588205211708	0.670495973029152	0.212011584795759	-0.418813704803045
Ceric.09G101600	3.9363455071893	4.176121289763	3.59853212869619	2.5393078826963	1.86531080132863
Ceric.10G000400	7.58019285315271	7.6748614108958	8.25687977459495	7.94666557113784	8.83776016946462
Ceric.10G002400	6.44512917645062	6.95557809905616	6.00059584803292	5.60366427245478	5.49657265646438
Ceric.10G003500	0.160002081992168	-2.23417518923359	-0.295312268181806	0.765149697425943	1.70895256607798
Ceric.10G003600	9.12655722274791	9.61058309181945	10.0724496079306	10.1559903242982	10.6051541555076
Ceric.10G004300	7.54976304009744	8.19983847305094	8.65064325340097	8.30944059673756	8.62376256472476
Ceric.10G006800	3.76777404854518	4.73816667623304	5.27640204918234	5.52100341153201	5.19805522568644
Ceric.10G007100	2.45969759250152	3.28162673503911	1.24956626422485	2.13552093713742	1.20413128004843
Ceric.10G009500	2.50722035915063	3.77927622489376	4.35287337646843	3.80020689445801	3.91861336107147
Ceric.10G009600	6.04196409389354	6.36971151318484	7.31700090468523	7.07847458183437	7.16670500266385
Ceric.10G009900	4.31084895633939	4.5706741395662	5.216097731416	5.2957603804926	6.3302629685022
Ceric.10G012400	1.61997497619568	2.6761427866071	0.64268921367624	2.07449140422034	-1.95400626699984
Ceric.10G012800	-1.66501352715638	1.04372759249633	0.943841481627807	2.82641375752769	1.33082414379152
Ceric.10G013400	6.2931868695006	5.85781274661748	5.25715173569911	4.08343470773422	4.01669764167493
Ceric.10G013500	5.84479112265948	6.65251654561156	7.19496906604183	6.90724122327557	7.16857092130902
Ceric.10G014500	-1.64555048209562	0.154146387162162	2.02839314275052	3.62282987228996	2.78243412206209
Ceric.10G014600	2.97102538135175	4.27770925574693	5.56225098629479	6.02593124302976	6.46891131365384
Ceric.10G015500	1.00176981628897	2.0309352781704	3.19286624525479	3.20874296779175	3.84760045997442
Ceric.10G015600	4.78667798990888	5.94765166938086	5.17719940089665	5.75980971321799	4.68643049275411
Ceric.10G016300	0.190419004915021	3.29404601299846	3.85272646083622	3.90971060633758	3.24111491057303
Ceric.10G018700	4.57366645320003	3.7055823372168	4.64237251775611	4.56347139791216	5.27351697955634
Ceric.10G019400	7.62572643544732	7.81522496127661	7.4125017047113	6.65696751157377	7.03142370632233
Ceric.10G019700	5.77761886214267	5.28910663426482	4.54095136328185	5.30089477599355	4.77939602046518
Ceric.10G022400	5.19177648960388	5.71619256730754	5.65455187938484	5.07736221505768	4.60523329698883
Ceric.10G022800	-1.70801655847444	0.51124513015843	2.18797529435351	1.69063293122335	2.52659133743727
Ceric.10G024100	2.20173871790291	2.72270709669907	-0.601351925057062	0.178730703614404	-0.282430534045191
Ceric.10G024300	0.288516933699508	-2.53027374585647	-1.48620802033973	-2.53027374585647	0.444472552026673
Ceric.10G025300	2.58083866203752	2.95812073438054	3.52107257159578	4.16839524028981	4.23387547474452
Ceric.10G025900	5.56548554731233	5.62305357001792	5.99964593728769	6.82628386485403	6.64152329709865
Ceric.10G026000	0.970316381273649	2.49995863232483	-0.561363872200066	2.52166568506229	0.482616565514852
Ceric.10G026100	-1.96138945674382	-0.325489640732373	0.661315166537877	2.00501930090536	0.270530056352687
Ceric.10G027300	2.86045941905426	2.21198999113795	0.366525865629389	-0.788556101821825	-0.63163417748822
Ceric.10G027800	4.251154301773	3.49506138361041	4.44476747004094	3.79102699324567	5.33436085358373
Ceric.10G029300	5.05961964882849	3.42417530502224	4.20618390143947	4.98946042939239	5.66837443929233
Ceric.10G033200	3.61646633157831	2.76690355170714	0.461915123801219	2.35925636151638	1.24524821531677
Ceric.10G035300	5.50110124677828	5.20848599403522	4.4424210368628	3.43734311533915	4.41371519549296
Ceric.10G036000	5.20321874334176	5.21391010425721	6.602449612456	6.59644576832373	7.70596894985199
Ceric.10G037400	6.67718433319608	6.52647111323148	5.5694090328853	5.82001898437908	5.0448545532347
